,word,positive,negative
0,sad,0,48
1,to,36,38
2,and,32,41
3,i,21,28
4,the,38,38
5,a,31,34
6,rt,45,42
7,is,20,35
8,this,16,21
9,so,16,23
10,my,14,17
11,that,12,25
12,of,15,19
13,me,12,15
14,but,9,18
15,in,14,20
16,really,1,12
17,it,11,14
18,https://t,41,14
19,for,18,12
20,he,1,8
21,just,9,11
22,get,6,5
23,very,3,6
24,his,1,5
25,be,14,16
26,how,2,5
27,its,6,9
28,it's,0,0
29,as,6,5
30,now,2,8
31,not,5,12
32,makes,0,4
33,jimin,0,3
34,all,9,10
35,back,1,3
36,more,8,7
37,am,6,6
38,out,3,5
39,d,1,3
40,have,9,7
41,nip,0,2
42,will,4,9
43,they,4,7
44,what,2,5
45,too,2,8
46,why,5,6
47,make,7,7
48,im,6,8
49,i'm,0,0
50,yet,0,4
51,you,20,14
52,school,0,3
53,no,4,6
54,tattoo,0,1
55,other,3,5
56,borderlands,0,3
57,are,4,13
58,being,1,9
59,your,9,7
60,because,3,9
61,heart,0,3
62,real,1,2
63,over,2,5
64,from,2,4
65,some,0,8
66,we,10,6
67,was,7,8
68,into,0,3
69,mean,0,4
70,life,4,7
71,elementary,0,2
72,since,0,2
73,another,0,4
74,with,10,23
75,happened,0,2
76,ain't,0,0
77,u,2,2
78,nipsey's,0,0
79,lot,2,3
80,one,5,4
81,zen,0,1
82,story,0,2
83,there,1,2
84,easy,2,1
85,an,4,4
86,hope,3,3
87,holder,0,2
88,wow,0,3
89,3,1,2
90,know,2,1
91,been,2,3
92,about,3,2
93,play,0,2
94,read,0,2
95,even,1,3
96,used,0,2
97,could,2,3
98,when,8,5
99,abt,0,1
100,high,1,2
101,actually,2,2
102,ever,1,2
103,someone,0,3
104,person,1,3
105,hear,2,2
106,after,1,3
107,finished,0,2
108,bitch,0,2
109,see,1,2
110,had,7,5
111,feeling,0,4
112,clarifies,0,2
113,follow,3,1
114,waiting,0,2
115,friend,1,2
116,go,1,3
117,sorry,0,1
118,also,3,2
119,wont,0,2
120,@nipseyfanpage:,0,2
121,hard,0,3
122,eric,0,2
123,i'll,0,0
124,partner,0,2
125,money,0,2
126,camp,0,1
127,rei,0,1
128,boot,0,1
129,between,0,2
130,can,2,4
131,friend/business,0,2
132,like,2,6
133,having,3,3
134,day,6,4
135,seokjin:,0,1
136,him,2,2
137,final,0,2
138,man,1,1
139,probably,1,1
140,their,6,3
141,condition,0,1
142,esp,0,1
143,send,0,2
144,@bmorsh,0,1
145,max,0,1
146,much,2,1
147,describe,0,1
148,r,0,1
