id,text
1,Mangoes Restaurant Key West is located at 700 Duval Street. The intersection of great food and good times. They proudly serve a fun and delicious selection of Floribbean and American foods. The original developers... https://t.co/hGhwftze92
1,might fuck around. might make a css grid gallery for fun and to avoid my responsabilities....
1,I’m not sure who enjoys dress up days more...the students or the staff! So fun!  Thanks everyone for participating and keep recycling those markers!!  #TrailBlazeOn https://t.co/gcrAh5s6Vm
1,"RT @_violin_tim: Was having fun on this one! Please Me by @iamcardib and @BrunoMars 💚
Want to hear more? Follow me on insta @violin_tim 😊 h…"
1,"Thanks to my sassy cute friend Kim Taylor Bost, I have had my first ""fix!"" It was fun and easy, just my style. Thank you Kim!! Passing on the great tip for my style challenged friends... https://t.co/Ae4eNFG5YX"
1,RT @Linnzzz____: So my sister had prom on Saturday and didn’t want to wear the dress she wore because she thought she looked fat. When she…
1,"You are not a real gamer until you too have fun.

Damn predictive text, you’re on point. https://t.co/iNsklOxLPA"
1,"We are making supporting your local community easy, effective, and fun. Follow us to be part of our launch. Coming soon to #fayettevillenc
 @CityOfFayNC  #CityLnkd @fayobserver @FayNC_Chamber @myFayToday"
1,RT @Madam_President: Did you know that @ewarren loves Dolly Parton? Or that @SenGillbrand has run two marathons? How about that @AmyKlobuch…
1,@TehFawpy Ye i feel like it would be more fun to actually get stuff for myself
1,"Check out this fun social app Encore, https://t.co/LaxUnxAnsC https://t.co/hrVmZs5l7J"
1,RT @KamuiCosplay: Had a super fun panel about foam armor this weekend and attaching seams to be always an issue! So here’s a video! It work…
1,Ah fun. It’s gonna be one of THOSE days. Okay. Cool.
1,@kfield82 @GamblerThoughts The problem is when the fun stops your addicted. That is why I have always hated that phrase.
1,"If you're trying to keep up with college baseball, MLB baseball, MiLB baseball and the draft at the same time, this time of the year is both awesome and overwhelming. So much to watch. So much to keep track of. So much fun. https://t.co/BKWSHKSCUE"
1,"RT @Duderd_X: 🎙TIME TO ACHIEVE🎙

I had the most fun recording and editing all day yesterday that I've had in a very long time

There's no d…"
1,"RT @pugnoodless: honestly, I just want to draw her in mug XD 
here my ko-fi link just for fun https://t.co/fmAxu7Q12d https://t.co/PiMT08w9…"
1,Pizza Class By The Sea was quiet but still incredibly fun and delicious! With Vincenzo Marra 🍕⚓️
1,"happy #freshfriday2k19 @starpopfever !!! it was soooooo fun to be able to draw one of your characters they're all so good ;0; and thank you @arlir for organizing freshfriday every year, i always look forward to it!!! 💖  💖  💖  💖  💖 https://t.co/zVFkBkaU6n"
1,RT @KasopeOwoaje: Lovee this hoodie [yesterday was fun] 🌕 https://t.co/GjLNWDfJpC
1,"[#PREVIEW 📸] 05.04.19 | #Yunmin no Busking ''FUN &amp; PAN''.

cr. Every_MIN_it

 #Newkidd #뉴키드 #Yunmin #윤민 https://t.co/UPE8HPKYNM"
1,"It’s about to get really freaking fun and intense! As I get older – I’ll be 50 here in a couple months – I found that I need a sport where I move more. 

Well, doing triathlon seems to be the answer. Signed up... https://t.co/sPTlbYLHvR"
1,@omz_music @realDonaldTrump The dinner will be more fun without him. He’s a https://t.co/xvMsaP3fWz
1,@tannerfox Pretty fun not going to lie
1,RT @Jae_Day6: Ver 2 . Thank you for the opportunity!!! So much fun making these https://t.co/CJHfRBK9i0
1,"@honeybbangtan :((( it does get stressful, but once the MV and album drops, it's a lot lighter as we actually reach our goals and all :( it's a fun time, it's just the buildup gets exhausting :((( i'm glad you're okay though!!!"
1,Enjoy walking at #Rhodes #park #Johannesburg #SouthAfrica #life #nature #travel #animal #holiday #earth_beatiful #amazing #heaven #color #photography #planet #earth #fun #cool #view #africa #style #view #happy #beauty #beautiful #born2travelit #discoverctwc https://t.co/CcWUgDgTC2
1,a work-in-progress of something fun... New Zealand's beloved kakapo as a phoenix. aiming for more glowy and magical by the time it's done. I kind of start blobby &amp; dark and work up in brightness &amp; detail. https://t.co/POieGqAArC
1,"RT @olimonarrez: If my co workers ask me to cover their shift because they want to party, I’m going to say yes if I’m free. They get to hav…"
1,"RT @lukewestaway: Thanks everyone who came along to this evening's Oxventure, it was hilarious fun and now I live on the floor 📸 @icklenell…"
1,"What does project based learning look like? Here is our summary of work around endangered species, plastic pollution and environmental citizenship in my 2nd grade class, including art, music, literature and math connections. #PBL so fun, so engaging!   https://t.co/Bf2pJkgQ53 https://t.co/RR5sfcphMX"
1,"@lightenuptw Also, the most fun I've had recently is taking my daughters trampolining and joining in with them - not a proper exercise class but I'm sure it burnt loads of calories and it made me laugh a lot too, which has got to be a good thing 🙂 #lightenuptw"
1,"RT @CommsExpress: Friday Fun Post #competition 
Happy First Contact Day #Trekkies !! Tell us the date the first time us mortals made contac…"
1,"RT @ananavarro: Can you imagine Trump poking fun at @joebiden for this, out of all issues? ¡Que CARA DURA! https://t.co/hloPBafAxj"
1,"smash is fun

losing to laggy online bullshit isn't

im going to the mall and playing pokemon go &gt;:("
1,Remember Saturday Morning if football fun time https://t.co/6i0BZjJwML
1,"RT @WritersCentreAU: It's going to be a cracker... join us from 5pm TODAY for #furiousfiction. It's fast, fun and FREE to take part – plus…"
1,"RT @_violin_tim: Was having fun on this one! Please Me by @iamcardib and @BrunoMars 💚
Want to hear more? Follow me on insta @violin_tim 😊 h…"
1,RT @MsGladysKnight: Soundcheck fun! Happy Friday! ❤️❤️❤️ https://t.co/YSRAXnPaUh
1,"My niece already got the world 🌎. We ready for you baby skye , TT &amp; bunny can’t wait for you to join the fun 🧡🧡😆😆"
1,"RT @benwallfisch: It’s truly a dream come true to have had the chance to work on #SHAZAM - biggest thanks to @ponysmasher, Peter Safran, @n…"
1,@AshleyBanjo @Diversity_Tweet Would want to be sitting behind you boys! 😉 Have fun!! 😘
1,RT @Al_i_exandra: Having a job is all fun and games until you can’t have fun and games because you have a job
1,@hanbinscockring 2djsjjsfjjwhfsdgds the fun we had omfg
1,"RT @theChrisDo: 7 characteristics of ""Still People"" and why you should avoid their negativity. If you're not careful, it might rub off on y…"
1,"@morjoysol2615 Then I stick by my CA suggestions if you’ve never been. Trees of mystery is fairly cheap, kitschy fun! Always meant to check out prehistoric forest. Lots of fun side little drives. (Like, you need a similar memory in your life) https://t.co/BZi7hDQ83z"
1,RT @BDlabaj: Field Day fun @SunnyvaleES 💙💛 https://t.co/78RnXce85g
1,RT @berbalee: So just two more days until the second blackout duo's tournament. Who do you think will win. Also you can still enter. Come a…
1,"How to #NetflixAndChill alone

Get free #Netflix Premium Account with link below
👇👇
https://t.co/yCdF8C33Gm
Kindly retweet to share the fun #ad https://t.co/EEwtonFwVO"
1,Live 90 Second AUCTIONS . . . Fun! Exciting! Addicting! . . . Get Coupon Codes . . . https://t.co/UfdYHcpb0u https://t.co/O3xxUCvqI9
