id,text
1,RT @ChaviStHill: Omg this cat is an ACTOR!!! Look at the difference in their eyes!!! Why does this make me so happy??? https://t.co/9vRd1Dw…
1,"RT @DogginTrump: On today’s episode of I DONT GIVE A FUCK

Trump is upset that Congress is going after his taxes &amp; plans to fight their rel…"
1,RT @MsGladysKnight: Soundcheck fun! Happy Friday! ❤️❤️❤️ https://t.co/YSRAXnPaUh
1,"RT @_hublette: HAPPY FRIDAY @AOC 
We all know a staffer picked up that IKEA furniture for you as a prop. https://t.co/ERr7zVEqO7"
1,"I am fueled by wholesome art of Yuyuko and Youmu
They don't have to be doing anything specific, they just both have to be happy"
1,"@mjawandz11 Happy Birthday! Hope you're doing fantastical, daughter."
1,"@TheRealJonny_5 @NHLBruins @tdgarden Hope the surgery goes well! 🙏 Also, happy early birthday! ☺️🎉"
1,Happy Friday https://t.co/GoS4aiGwJ0
1,@Zak_Bagans Happy Birthday
1,RT @juliancamarena: Happy Friday ✌🏼
1,RT @bovb51: @ManishP24604101 @Quinnqueens @ThShaher @LidstonePeter @stradagangelica @aliciagarciaga6 @yelarvel @QuinnQueens_2 @litebrite123…
1,"RT @MMooregough_7: Pardon me but when did girls start dissing on other girls body, this is truly disgusting i am extremely happy with my bo…"
1,@kreespykim Happy sweldo!!
1,We are “over the moon” that it’s Head Coach Ian Choi’s birthday today! Have a happy happy birthday! #moonboss #fuvb #gorams https://t.co/rqii68IoMv
1,"Happy birthday lil Brother! 
Couldn’t ask for a better brother!"
1,@ninjaeee @HermosaHanna ha hahahhaa happy birthday to u
1,There is only one person who could ever make you happy and that person is you. https://t.co/8CssohiewD
1,RT @ToeiAnimation: Happy Birthday to the legendary Akira Toriyama! Your creations inspired millions. We can't wait to see what you do next.…
1,HAPPY BIRTHDAY TO THE QUEEN OF WOOOOO CHARLOTTE FLAIR🎉🎈🎁🎊
1,"RT @MMooregough_7: Pardon me but when did girls start dissing on other girls body, this is truly disgusting i am extremely happy with my bo…"
1,"Ladies, I just experienced SHEER BLISS when trying on a swimsuit. No joke. @oliviaandocean has officially changed my summer mood. I'm so grateful and excited to take my little girl swimming literally every day now. This sounds sponsored, but I'm just that freaking happy. 🙌🏻🧜🏻‍♀️✨"
1,RT @Kimmeye1: Happy National Jelly Bean Day! 🌸🌸 ⁦@thd_young⁩ ⁦@ginamorris508⁩ ⁦@SamanthaASM2307⁩ ⁦@KevinZ_THD⁩ https://t.co/Bd4CH9a5JM
1,""" Happy birthday rezon! wish you all the best "" 

-yeeun https://t.co/50ghxbet2o"
1,"RT @LaurenJauregui: Hi my loves, I miss you. I hope you’re well and hydrated and rested and happy✨❤️ y’all will forgive me for the awol ene…"
1,RT @ChaviStHill: Omg this cat is an ACTOR!!! Look at the difference in their eyes!!! Why does this make me so happy??? https://t.co/9vRd1Dw…
1,RT @Cardinals: We think @aybaybader is happy to be back in Busch Stadium. https://t.co/bUfTfzY8BR
1,RT @JetReset: I’m hereby banning predictive text memes all it ends up being is dumb but it’s hilarious and hilarious I gotta is a great gam…
1,RT @petty_lex: I’ll be happy when everything fall in place cause I’m just tired of everything..
1,"RT @Nicholls_Cheer: Happy Friday!!! These are the requirements for tryouts! Just a reminder tryouts are May 5, 2019!!❤️❤️ #geauxcolonels ht…"
1,"Happy man

Artist:泉 陸奥彦
BPM:180
Version:GF1

① Intro
② Phrase A
③ Phrase A
④ Phrase B
⑤ Special
⑥ Phrase A

 https://t.co/klkIHdGYWb https://t.co/ABerq7n82c"
1,"RT @hwaseongl: Jungkook beautiful
Jungkook sunshine
Jungkook prince
Jungkook smile
Jungkook cooky
Jungkook mixtape
Jungkook vocal 
Jungkook…"
1,@eemrichmond CONGRATULATIONS!! He’s adorable! I’m so happy for you guys!!
1,"RT @ohmyguinea: Happy #InternationalCarrotDay!' 💚
Any excuse.. 😅

#funny #guineapigs #cute #carrot #foodies #happy #pets https://t.co/bA7NT…"
1,RT @allypallyfm: Happy Friday London! We have a gorgeous market line up and a few newcomers as well so make your way over to Campsbourne th…
1,"Its your birthday zak, I wish u a happy ghost free day honey , u deserve it, I'm telling the ghosts to take a hike baby, lol. Kiss 💋@Zak_Bagans https://t.co/6iM3O9ZP02"
1,@lavendertones happy birthday!! 😚💛
1,I am so happy 😭😭😍😍😍 https://t.co/KWmGp4qFbW
1,@whca @OKnox Happy he will be with people that appreciate the job President Trump is doing
1,"@dricciardo Happy not-a-teen Birthday, Brie 👀"
1,"They said you should live a happy, stable life all the time? Fuck them. Live, just fucking live."
1,"@FelineChairThi1 Hahah, happy #FelineChairThiefFriyay! 🐈😺"
1,RT @ChaviStHill: Omg this cat is an ACTOR!!! Look at the difference in their eyes!!! Why does this make me so happy??? https://t.co/9vRd1Dw…
1,"RT @EnjoyNature: Pink cherry blossoms trees and Mount Fuji in Japan🇯🇵  

#Travel #Nature #Outdoor #Vacations #Art #Happy #Flowers
cherry bl…"
1,"Kristen Bell on Maintaining a Happy Marriage Even When You're ""Very Annoyed"" With Your Spouse https://t.co/jQ501XFJNN"
1,RT @srirachastay: DID I ASK FOR TO SUFFER THAT WAY ?????? NO BUT AM I HAPPY I DO ???????? YES https://t.co/O30KH89oyz
1,"RT @MMooregough_7: Pardon me but when did girls start dissing on other girls body, this is truly disgusting i am extremely happy with my bo…"
1,"@majornelson @XboxGamePass #freecodefriday crackdown 3 to start, currently stuck in bed following spinal surgery so could probably manage life is strange 2, cities skylines and we happy few as well to mix it up a bit and to make the time pass quicker"
1,@SergeVeilleux5 @SteveBanglesFan @EthanSVG @EricJosephGree2 @MichaelBangles @Christo40822057 @freewill121 @dr_ringer @VickiBangle @SusannaHoffs For your Words Greetings from me with The Song ' High On a Happy Vibe ' from Urban Cookie Collective
1,"RT @TeamQuetta: Happy Birthday to the #FaceOfPace Mohammad Hasnain, turns 19 today. Wishing him a very happy and successful life ahead. Kee…"
1,"RT @T1mbles: “If you think that this has a happy ending, you haven’t been paying attention.” https://t.co/mtatdN60P2"
