,word,frequency
0,sad,51
1,to,29
2,and,29
3,i,28
4,the,26
5,a,24
6,rt,23
7,is,21
8,this,18
9,so,18
10,my,18
11,that,15
12,of,14
13,me,12
14,but,11
15,in,11
16,really,11
17,it,10
18,https://t,9
19,for,9
20,he,8
21,just,8
22,get,6
23,very,6
24,his,6
25,be,6
26,how,6
27,its,5
28,it's,5
29,as,5
30,now,5
31,not,5
32,makes,5
33,jimin,4
34,all,4
35,back,4
36,more,4
37,am,4
38,out,4
39,d,4
40,have,4
41,nip,4
42,will,4
43,they,4
44,what,4
45,too,4
46,why,4
47,make,4
48,im,4
49,i'm,3
50,yet,3
51,you,3
52,school,3
53,no,3
54,tattoo,3
55,other,3
56,borderlands,3
57,are,3
58,being,3
59,your,3
60,because,3
61,heart,3
62,real,3
63,over,3
64,from,3
65,some,3
66,we,3
67,was,3
68,into,3
69,mean,3
70,life,2
71,elementary,2
72,since,2
73,another,2
74,with,2
75,happened,2
76,ain't,2
77,u,2
78,nipsey's,2
79,lot,2
80,one,2
81,zen,2
82,story,2
83,there,2
84,easy,2
85,an,2
86,hope,2
87,holder,2
88,wow,2
89,3,2
90,know,2
91,been,2
92,about,2
93,play,2
94,read,2
95,even,2
96,used,2
97,could,2
98,when,2
99,abt,2
100,high,2
101,actually,2
102,ever,2
103,someone,2
104,person,2
105,hear,2
106,after,2
107,finished,2
108,bitch,2
109,see,2
110,had,2
111,feeling,2
112,clarifies,2
113,follow,2
114,waiting,2
115,friend,2
116,go,2
117,sorry,2
118,also,2
119,wont,2
120,@nipseyfanpage:,2
121,hard,2
122,eric,2
123,i'll,2
124,partner,2
125,money,2
126,camp,2
127,rei,2
128,boot,2
129,between,2
130,can,2
131,friend/business,2
132,like,2
133,having,2
134,day,2
135,seokjin:,2
136,him,2
137,final,2
138,man,2
139,probably,1
140,their,1
141,condition,1
142,esp,1
143,send,1
144,@bmorsh,1
145,max,1
146,much,1
147,describe,1
148,r,1
149,spent,1
150,support,1
151,game,1
152,bored,1
153,jesse,1
154,sounds,1
155,thing,1
156,part,1
157,co/3rgvjaftqi,1
158,matter,1
159,jets,1
160,jealousy,1
161,mfal,1
162,likely,1
163,fault,1
